index,cluster,label
0,7,5
1,4,0
2,9,4
3,6,1
4,2,9
5,1,2
6,1,1
7,3,3
8,1,1
9,2,4
10,1,3
11,5,5
12,7,3
13,0,6
14,1,1
15,2,7
16,3,2
17,1,8
18,5,6
19,1,9
20,9,4
21,5,0
22,2,9
23,6,1
24,5,1
25,3,2
26,2,4
27,7,3
28,1,2
29,1,7
30,5,3
31,1,8
32,0,6
33,1,9
34,4,0
35,5,5
36,5,6
37,4,0
38,9,7
39,0,6
40,1,1
41,1,8
42,2,7
43,1,9
44,1,3
45,1,9
46,7,8
47,8,5
48,1,9
49,7,3
50,3,3
51,4,0
52,4,7
53,6,4
54,2,9
55,1,8
56,4,0
57,2,9
58,2,4
59,6,1
60,4,4
61,6,4
62,5,6
63,7,0
64,4,4
65,8,5
66,5,6
67,6,1
68,4,0
69,7,0
70,1,1
71,1,7
72,1,1
73,5,6
74,1,3
75,7,0
76,3,2
77,6,1
78,1,1
79,1,7
80,4,9
81,4,0
82,3,2
83,5,6
84,1,7
85,7,8
86,7,3
87,2,9
88,4,0
89,2,4
90,0,6
91,1,7
92,4,4
93,5,6
94,1,8
95,4,0
96,1,7
97,1,8
98,7,3
99,6,1
100,8,5
101,2,7
102,1,1
103,2,7
104,1,1
105,6,1
106,5,6
107,3,3
108,4,0
109,5,2
110,4,9
111,7,3
112,1,1
113,6,1
114,4,0
115,2,4
116,4,9
117,3,2
118,4,0
119,4,0
120,1,2
121,4,0
122,3,2
123,1,7
124,6,1
125,7,8
126,5,6
127,2,4
128,1,1
129,5,6
130,3,3
131,2,4
132,1,5
133,1,9
134,1,1
135,3,3
136,7,3
137,1,8
138,5,5
139,2,4
140,1,7
141,1,7
142,2,4
143,5,2
144,7,8
145,8,5
146,1,8
147,0,6
148,1,7
149,7,3
150,0,4
151,0,6
152,1,1
153,1,9
154,8,9
155,0,6
156,4,0
157,3,3
158,4,7
159,3,2
160,1,8
161,3,2
162,1,9
163,6,4
164,0,4
165,5,6
166,2,4
167,1,9
168,1,7
169,7,0
170,1,9
171,3,2
172,2,9
173,5,5
174,1,1
175,7,5
176,8,9
177,1,1
178,3,2
179,3,3
180,1,2
181,3,3
182,7,5
183,1,9
184,1,1
185,1,7
186,5,6
187,5,2
188,1,8
189,5,2
190,5,2
191,7,5
192,4,0
193,2,7
194,4,4
195,1,9
196,4,7
197,1,8
198,1,3
199,3,2
200,1,1
201,6,1
202,1,8
203,3,3
204,0,6
205,6,1
206,4,0
207,3,3
208,1,1
209,4,0
210,4,0
211,1,1
212,1,7
213,9,2
214,1,7
215,3,3
216,7,0
217,2,4
218,5,6
219,7,5
220,3,2
221,5,6
222,4,4
223,1,7
224,1,1
225,3,8
226,1,9
227,1,9
228,7,3
229,4,0
230,2,7
231,1,1
232,4,0
233,3,2
234,4,0
235,3,3
236,7,5
237,2,4
238,0,6
239,7,5
240,1,8
241,0,6
242,3,3
243,2,7
244,7,5
245,1,8
246,4,0
247,2,9
248,1,1
249,4,0
250,3,3
251,1,1
252,3,2
253,3,2
254,7,3
255,3,3
256,8,6
257,2,4
258,1,7
259,5,5
260,4,0
261,0,6
262,5,2
263,2,7
264,4,9
265,1,8
266,7,5
267,1,9
268,1,2
269,6,1
270,6,1
271,2,4
272,2,4
273,7,5
274,5,6
275,2,4
276,6,1
277,3,2
278,5,5
279,7,3
280,2,9
281,3,3
282,4,9
283,4,0
284,7,5
285,1,9
286,5,6
287,5,5
288,1,7
289,2,4
290,6,1
291,1,3
292,0,4
293,4,0
294,9,4
295,1,8
296,4,0
297,2,4
298,7,3
299,0,6
300,1,8
301,2,7
302,5,6
303,4,0
304,8,9
305,2,7
306,7,5
307,1,7
308,9,2
309,6,1
310,1,1
311,0,6
312,1,8
313,1,9
314,4,4
315,6,1
316,7,5
317,3,2
318,6,2
319,2,9
320,4,0
321,3,3
322,4,9
323,0,6
324,1,7
325,3,2
326,4,0
327,7,3
328,8,5
329,2,4
330,1,3
331,0,6
332,7,5
333,7,8
334,4,9
335,5,5
336,2,4
337,2,7
338,2,4
339,9,2
340,4,7
341,3,3
342,8,4
343,1,8
344,4,9
345,6,1
346,7,9
347,3,2
348,1,8
349,2,7
350,2,9
351,1,1
352,7,8
353,1,7
354,8,4
355,6,1
356,1,3
357,1,1
358,1,1
359,4,0
360,3,2
361,7,3
362,2,9
363,2,4
364,2,9
365,9,2
366,1,1
367,0,6
368,1,8
369,2,4
370,1,7
371,1,7
372,2,4
373,2,4
374,1,9
375,9,2
376,8,5
377,2,7
378,3,2
379,2,4
380,9,4
381,9,2
382,1,1
383,2,9
384,2,7
385,3,2
386,7,8
387,1,7
388,0,6
389,2,9
390,1,2
391,3,2
392,3,3
393,1,8
394,1,1
395,0,6
396,7,5
397,6,1
398,1,1
399,4,0
400,3,2
401,0,6
402,2,4
403,5,5
404,7,8
405,3,3
406,1,1
407,5,5
408,6,1
409,2,9
410,1,2
411,2,7
412,8,4
413,2,4
414,0,4
415,1,8
416,1,1
417,5,5
418,1,8
419,1,9
420,8,5
421,0,6
422,1,7
423,2,9
424,8,9
425,3,3
426,1,7
427,5,0
428,1,9
429,4,0
430,5,6
431,0,6
432,3,2
433,7,3
434,9,9
435,4,0
436,4,7
437,5,5
438,2,4
439,1,8
440,4,0
441,1,9
442,2,4
443,6,1
444,1,2
445,1,8
446,4,7
447,6,1
448,6,2
449,0,6
450,1,1
451,5,0
452,3,3
453,4,0
454,1,1
455,6,1
456,1,8
457,1,2
458,4,0
459,1,3
460,4,9
461,2,4
462,4,0
463,5,5
464,4,0
465,5,6
466,6,1
467,1,7
468,4,7
469,1,8
470,8,1
471,1,9
472,6,2
473,4,0
474,7,5
475,6,1
476,9,2
477,3,2
478,1,7
479,7,3
480,8,5
481,2,4
482,2,9
483,1,7
484,1,1
485,1,8
486,7,3
487,1,9
488,4,6
489,4,0
490,7,3
491,6,1
492,1,1
493,9,2
494,4,6
495,3,3
496,7,5
497,1,7
498,0,6
499,1,8
500,1,3
501,1,9
502,8,5
503,1,8
504,7,5
505,2,7
506,0,6
507,6,1
508,6,1
509,7,3
510,6,1
511,1,7
512,7,5
513,5,5
514,5,5
515,9,2
516,7,5
517,4,8
518,1,7
519,4,0
520,4,9
521,2,7
522,1,7
523,5,5
524,4,0
525,1,9
526,4,0
527,4,0
528,5,8
529,1,9
530,3,2
531,0,4
532,7,8
533,6,1
534,5,6
535,6,1
536,0,6
537,5,5
538,6,1
539,7,8
540,7,3
541,2,4
542,4,0
543,8,5
544,7,5
545,1,8
546,3,3
547,0,6
548,3,2
549,3,3
550,4,9
551,3,2
552,1,1
553,6,1
554,7,5
555,1,2
556,1,1
557,3,3
558,5,2
559,7,8
560,1,7
561,3,3
562,1,7
563,1,2
564,2,4
565,5,6
566,8,9
567,1,7
568,1,2
569,2,4
570,3,2
571,1,8
572,1,1
573,6,1
574,7,3
575,1,8
576,8,4
577,4,0
578,8,6
579,8,5
580,8,9
581,3,3
582,4,0
583,1,9
584,3,2
585,8,4
586,1,7
587,6,1
588,1,2
589,2,9
590,8,4
591,3,2
592,0,6
593,6,1
594,7,8
595,1,9
596,4,0
597,5,6
598,5,6
599,1,7
600,1,9
601,1,9
602,7,8
603,4,0
604,6,1
605,6,4
606,9,4
607,5,6
608,4,7
609,6,1
610,8,5
611,6,7
612,4,0
613,7,3
614,5,5
615,1,8
616,4,4
617,1,7
618,1,1
619,1,2
620,7,5
621,1,9
622,7,5
623,0,6
624,1,7
625,8,5
626,4,9
627,5,8
628,7,8
629,7,3
630,8,6
631,1,9
632,4,7
633,7,0
634,1,7
635,3,5
636,1,7
637,6,1
638,1,1
639,4,0
640,4,7
641,1,9
642,3,2
643,7,3
644,1,7
645,7,3
646,1,2
647,6,4
648,6,1
649,0,6
650,3,2
651,1,7
652,8,5
653,8,5
654,1,7
655,2,4
656,4,0
657,6,2
658,5,6
659,1,3
660,5,6
661,6,4
662,4,0
663,0,4
664,9,2
665,5,6
666,4,0
667,5,0
668,4,0
669,4,0
670,5,3
671,1,1
672,5,6
673,3,2
674,6,2
675,7,3
676,1,1
677,2,4
678,1,1
679,7,5
680,2,4
681,0,6
682,4,4
683,1,7
684,3,2
685,1,8
686,1,7
687,8,9
688,1,2
689,7,0
690,7,5
691,1,1
692,8,4
693,5,2
694,1,8
695,7,3
696,3,2
697,2,4
698,6,1
699,7,5
700,2,4
701,0,6
702,4,0
703,2,7
704,9,9
705,1,8
706,4,4
707,2,9
708,1,8
709,3,0
710,1,1
711,6,1
712,1,0
713,3,2
714,5,2
715,7,3
716,3,2
717,2,4
718,8,4
719,7,5
720,1,8
721,0,6
722,7,5
723,1,7
724,1,7
725,1,8
726,7,8
727,8,9
728,1,7
729,2,4
730,1,7
731,7,3
732,3,2
733,4,0
734,1,8
735,0,6
736,7,8
737,0,6
738,1,1
739,0,6
740,7,8
741,2,9
742,4,4
743,4,0
744,1,9
745,7,0
746,1,4
747,6,1
748,7,5
749,8,4
750,2,7
751,7,5
752,7,3
753,1,7
754,8,4
755,2,9
756,1,8
757,5,5
758,7,8
759,0,6
760,7,3
761,1,8
762,0,6
763,2,9
764,4,9
765,6,1
766,1,8
767,7,3
768,7,5
769,1,8
770,9,6
771,7,5
772,2,9
773,1,7
774,3,2
775,5,5
776,4,0
777,1,8
778,5,5
779,6,1
780,1,1
781,4,0
782,4,9
783,6,1
784,1,8
785,0,6
786,2,7
787,4,0
788,4,9
789,7,3
790,4,0
791,1,8
792,7,8
793,2,9
794,5,6
795,1,7
796,1,8
797,2,4
798,1,7
799,7,5
800,2,9
801,9,2
802,0,6
803,1,7
804,9,4
805,7,5
806,2,9
807,9,2
808,1,3
809,6,1
810,5,6
811,7,3
812,2,9
813,9,2
814,3,2
815,7,5
816,0,6
817,1,8
818,4,0
819,1,7
820,4,7
821,6,1
822,1,9
823,1,8
824,1,7
825,4,0
826,4,9
827,2,9
828,4,4
829,0,6
830,3,2
831,1,8
832,7,5
833,6,1
834,2,4
835,6,1
836,7,5
837,7,5
838,1,1
839,1,7
840,7,3
841,0,6
842,8,4
843,7,3
844,3,2
845,7,5
846,8,6
847,2,4
848,9,4
849,7,0
850,0,4
851,2,4
852,0,6
853,1,7
854,2,2
855,2,4
856,1,3
857,7,3
858,1,8
859,7,0
860,4,0
861,7,3
862,1,2
863,5,2
864,1,9
865,1,8
866,3,2
867,7,3
868,1,7
869,4,0
870,1,1
871,6,1
872,4,0
873,3,2
874,7,3
875,7,3
876,1,8
877,2,4
878,7,3
879,5,5
880,1,7
881,0,6
882,4,4
883,4,7
884,1,7
885,1,8
886,5,5
887,2,9
888,1,7
889,4,0
890,7,3
891,6,1
892,5,6
893,3,2
894,1,4
895,7,3
896,8,4
897,4,4
898,1,7
899,5,5
900,8,9
901,0,6
902,4,9
903,1,0
904,1,7
905,6,1
906,0,4
907,3,2
908,4,7
909,7,3
910,5,6
911,1,7
912,8,5
913,1,8
914,4,4
915,5,5
916,5,5
917,3,2
918,1,7
919,6,1
920,1,1
921,5,5
922,8,6
923,1,8
924,7,5
925,1,8
926,0,4
927,4,0
928,1,7
929,2,9
930,2,9
931,3,2
932,4,9
933,1,7
934,1,7
935,1,8
936,1,7
937,2,4
938,1,2
939,0,6
940,4,9
941,6,1
942,1,7
943,1,0
944,5,6
945,2,4
946,1,2
947,5,5
948,1,7
949,4,0
950,1,7
951,6,1
952,4,0
953,7,3
954,1,7
955,0,6
956,7,5
957,4,0
958,5,6
959,1,1
960,7,5
961,6,1
962,1,7
963,1,8
964,7,5
965,4,0
966,5,3
967,4,4
968,1,7
969,1,7
970,7,5
971,1,7
972,1,8
973,0,6
974,5,9
975,7,3
976,1,8
977,0,6
978,1,1
979,4,0
980,1,9
981,2,7
982,1,1
983,7,3
984,4,0
985,5,5
986,0,6
987,2,4
988,0,4
989,3,2
990,4,4
991,8,4
992,5,3
993,6,1
994,4,7
995,8,7
996,8,6
997,4,0
998,7,3
999,0,6
1000,4,0
1001,2,7
1002,1,1
1003,6,1
1004,8,4
1005,2,9
1006,2,4
1007,7,3
1008,2,4
1009,1,8
1010,3,2
1011,3,2
1012,1,1
1013,1,8
1014,2,7
1015,7,0
1016,7,8
1017,6,1
1018,4,0
1019,2,7
1020,5,6
1021,7,3
1022,1,7
1023,1,7
1024,4,5
1025,1,8
1026,1,8
1027,1,9
1028,4,0
1029,7,0
1030,0,4
1031,6,1
1032,7,5
1033,3,2
1034,3,2
1035,7,3
1036,1,9
1037,2,4
1038,4,9
1039,7,5
1040,4,0
1041,5,6
1042,1,7
1043,2,7
1044,1,1
1045,7,8
1046,4,0
1047,1,2
1048,9,2
1049,3,0
1050,0,4
1051,6,1
1052,1,1
1053,3,2
1054,4,7
1055,3,3
1056,2,9
1057,1,7
1058,3,2
1059,7,8
1060,1,1
1061,1,9
1062,7,5
1063,1,8
1064,7,8
1065,6,1
1066,1,9
1067,1,8
1068,1,3
1069,6,1
1070,8,6
1071,7,5
1072,2,7
1073,2,4
1074,3,2
1075,5,7
1076,4,0
1077,7,3
1078,4,0
1079,6,4
1080,6,1
1081,6,1
1082,1,7
1083,4,9
1084,1,1
1085,6,1
1086,7,8
1087,5,5
1088,1,7
1089,5,5
1090,4,0
1091,5,6
1092,0,6
1093,4,0
1094,2,4
1095,6,1
1096,3,2
1097,3,3
1098,2,4
1099,2,4
1100,8,6
1101,1,8
1102,4,0
1103,1,9
1104,7,5
1105,7,8
1106,6,7
1107,4,0
1108,7,3
1109,5,5
1110,8,4
1111,5,5
1112,2,9
1113,0,6
1114,1,7
1115,6,1
1116,2,9
1117,5,6
1118,1,1
1119,3,3
1120,5,8
1121,5,3
1122,1,9
1123,6,1
1124,3,2
1125,1,7
1126,1,7
1127,4,7
1128,4,0
1129,9,2
1130,7,3
1131,6,1
1132,6,1
1133,2,4
1134,3,2
1135,5,5
1136,5,6
1137,7,0
1138,1,9
1139,5,6
1140,5,2
1141,7,8
1142,2,9
1143,3,2
1144,7,3
1145,7,3
1146,5,6
1147,2,9
1148,8,1
1149,8,4
1150,7,3
1151,7,3
1152,4,0
1153,2,7
1154,1,7
1155,6,1
1156,1,7
1157,1,7
1158,7,3
1159,5,6
1160,9,4
1161,2,9
1162,7,5
1163,2,4
1164,2,4
1165,9,2
1166,1,7
1167,2,9
1168,4,0
1169,1,9
1170,3,8
1171,2,4
1172,4,4
